ID,보증금,월세,전용면적,해당층,총층,방수,욕실수,총주차대수,관리비,중개사무소,제공플랫폼,허위매물여부,등록경과일,보증금월세비율,층비율,저층여부,고층여부,매물확인방식_서류확인,매물확인방식_전화확인,매물확인방식_현장확인,주차가능여부_가능,주차가능여부_불가능,방향_남동향,방향_남서향,방향_남향,방향_동향,방향_북동향,방향_북서향,방향_북향,방향_서향
TRAIN_0000,19.813205657307364,13.060490101343552,3.3325482949183005,4.8484030589293745,15.0,1.0,1.0,3.713572066704308,4.574710978503383,256,1,0,145,856.381156635837,0.32322687059529165,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0001,18.95424586055295,12.206077645517674,3.3325482949183005,3.0,4.0,2.0,1.0,3.0602352018030174,0.0,240,3,0,67,852.4957375213124,0.75,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0002,18.5517090151307,12.847929163278053,3.3325482949183005,2.0,3.0,1.0,1.0,3.0602352018030174,0.0,157,0,0,95,299.99921052839335,0.6666666666666666,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0003,18.91232355441779,10.308985993422082,3.6189933266497696,3.0,9.0,2.0,1.0,2.6390573296152584,2.3978952727983707,32,0,0,97,5449.8183393886875,0.3333333333333333,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0004,19.661949335912173,13.180634172318978,3.3325482949183005,3.0,3.0,2.0,1.0,3.0602352018030174,0.0,76,1,1,251,652.8289569264964,1.0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0005,18.845948485892656,13.180634172318978,3.417726683613366,4.8484030589293745,3.0,2.0,1.0,0.6931471805599453,0.0,91,0,0,172,288.6787006062253,1.6161343529764582,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0006,19.669148791034292,12.899222326086994,3.3325482949183005,2.0,3.0,1.0,1.0,3.0602352018030174,0.0,6,3,0,192,871.2478218804453,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRAIN_0007,18.753575166394153,13.28787951079572,3.3325482949183005,2.0,3.0,2.0,1.0,3.0602352018030174,0.0,170,1,0,0,236.44027721986913,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0008,18.60716031919374,12.994532278619134,3.482777368654578,1.0,2.0,2.0,2.0,2.9444389791664403,1.3862943611198906,32,1,0,284,273.86301394769555,0.5,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0009,18.191267592203175,12.468440756144114,3.7052448082002005,2.0,3.0,2.0,1.0,1.0986122886681098,0.0,72,1,0,93,305.768054738251,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0010,19.049289408708074,12.873904582205107,3.206398303357088,1.0,15.0,1.0,1.0,2.772588722239781,1.791759469228055,32,0,0,443,480.76799803077427,0.06666666666666667,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0011,18.331849541174712,13.527829818844937,3.4756862336528944,9.0,15.0,2.0,2.0,3.8066624897703196,2.1972245773362196,32,1,0,343,121.99983733355022,0.6,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRAIN_0012,19.669148791034292,12.100717685412471,3.1838702156693857,2.0,5.0,1.0,1.0,3.0602352018030174,0.0,52,2,1,231,1936.1003549980278,0.4,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0013,17.11134746100564,12.676079399771027,3.6262058595858777,14.0,18.0,1.0,1.0,3.8501476017100584,1.3862943611198906,32,0,0,13,84.37473632894897,0.7777777777777778,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0014,19.829225716452065,11.608244735642321,3.3325482949183005,3.0,10.0,1.0,1.0,1.791759469228055,2.3978952727983707,42,0,0,121,3718.1480168362104,0.3,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0015,15.955576839107596,13.28787951079572,3.4518904959776733,2.0,9.0,1.0,1.0,3.828641396489095,0.0,32,2,0,502,14.406755242787725,0.2222222222222222,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0016,16.52356082573315,9.210440366976517,3.1376657694426577,1.0,8.0,1.0,1.0,3.332204510175204,0.6931471805599453,32,2,0,484,1499.8500149985002,0.125,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0017,19.77005175356169,13.527829818844937,3.3325482949183005,3.0,6.0,1.0,1.0,2.0794415416798357,2.1972245773362196,140,1,0,138,513.9993146675804,0.5,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0018,18.627694921466773,13.304686600863562,3.3325482949183005,4.0,4.0,1.0,1.0,0.6931471805599453,1.9459101490553132,74,3,0,169,204.99965833390277,1.0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0019,18.802535993247336,12.388398368982115,3.3325482949183005,2.0,3.0,1.0,1.0,3.0602352018030174,0.0,37,5,0,119,610.4141232744863,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0020,16.341239282272525,10.819798284210286,3.4301087251565754,4.8484030589293745,10.0,2.0,1.0,3.5553480614894135,2.70805020110221,247,1,0,125,249.995000099998,0.4848403058929375,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0021,19.74376903183158,12.765691290604371,2.9992261628082466,2.0,5.0,1.0,1.0,3.0602352018030174,2.1972245773362196,152,0,0,218,1072.8540775597785,0.4,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0022,17.01418371633128,13.51440681653079,3.417726683613366,7.0,8.0,1.0,1.0,0.6931471805599453,1.6094379124341003,134,0,1,295,33.10806336748193,0.875,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0023,19.04125723705382,13.017005083966255,3.238286218388024,4.0,14.0,2.0,2.0,2.833213344056216,1.6094379124341003,32,6,0,131,413.332414816856,0.2857142857142857,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0024,18.493001414834318,12.388398368982115,3.3379025312898416,9.0,10.0,2.0,1.0,2.3978952727983707,1.6094379124341003,106,2,0,139,447.91480035499853,0.9,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TRAIN_0025,19.799446841170358,13.017005083966255,3.3325482949183005,10.0,11.0,2.0,1.0,0.6931471805599453,2.1972245773362196,229,0,0,104,882.2202617327517,0.9090909090909091,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0026,19.704388519067237,12.765691290604371,2.917770732084279,6.0,6.0,1.0,1.0,2.1972245773362196,2.1972245773362196,61,2,0,105,1031.4256244982157,1.0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0027,16.380459992348886,13.217675375388819,3.3325482949183005,2.0,3.0,2.0,1.0,3.0602352018030174,0.0,89,4,0,152,23.63632066123516,0.6666666666666666,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0028,19.68621890675733,13.527829818844937,3.0363942552728806,4.8484030589293745,5.0,1.0,1.0,3.0602352018030174,0.0,91,0,0,60,472.66603644528476,0.969680611785875,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0029,19.811962649070857,13.369225017834633,3.6597080768136565,5.0,6.0,2.0,2.0,3.8918202981106265,1.3862943611198906,32,0,0,323,628.124018556221,0.8333333333333334,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0030,18.440483381052466,12.899222326086994,3.4170707308184456,6.0,8.0,2.0,2.0,3.784189633918261,1.9459101490553132,32,1,0,481,254.99936250159374,0.75,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TRAIN_0031,18.6983124881264,13.199326270390594,3.3325482949183005,2.0,3.0,1.0,1.0,3.0602352018030174,2.1972245773362196,146,0,1,236,244.44399177038562,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0032,19.088510121656228,13.235693848424024,3.7052448082002005,3.0,6.0,2.0,1.0,1.791759469228055,0.0,209,0,0,154,348.2136639041716,0.5,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0033,18.8906843794481,11.289794413577894,3.6189933266497696,2.0,4.0,2.0,1.0,0.6931471805599453,0.0,6,0,0,42,1999.9750003124961,0.5,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0034,19.650321297950857,13.321215875492413,3.7476199491365363,8.0,21.0,1.0,1.0,3.6635616461296463,2.0794415416798357,32,1,0,212,560.654818598658,0.38095238095238093,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0035,18.679191446825875,12.971542813248437,3.6270040503958487,2.0,5.0,2.0,1.0,1.3862943611198906,2.9444389791664403,105,4,0,167,301.1620903207202,0.4,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0036,18.358805350872576,12.506180941677357,3.3325482949183005,4.0,9.0,1.0,1.0,3.0602352018030174,0.6931471805599453,21,1,0,241,348.1468587153381,0.4444444444444444,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0037,17.034386422832473,13.161586013632684,3.3325482949183005,4.8484030589293745,8.052545155993432,1.3780788177339902,1.0345110928512735,3.0602352018030174,1.6094379124341003,207,3,0,148,48.07683062147957,0.602095730605218,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0038,17.296750678069195,13.353476685668044,3.3325482949183005,5.0,11.0,1.0,1.0,3.091042453358316,2.995732273553991,106,2,0,93,51.58721970282587,0.45454545454545453,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0039,18.95717412031489,13.081543466215237,3.5689691574413787,2.0,3.0,2.0,1.0,3.0602352018030174,2.0794415416798357,103,0,0,395,356.24925781404625,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0040,19.704388519067237,12.994532278619134,2.917770732084279,3.0,9.0,1.0,1.0,3.784189633918261,2.0794415416798357,32,2,0,463,820.4526807893618,0.3333333333333333,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0041,19.596254076843024,13.399996629152975,3.056827372913802,11.0,14.0,1.0,1.0,3.091042453358316,1.0986122886681098,32,0,0,69,490.908347108565,0.7857142857142857,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0042,18.65969765229688,13.038983942375959,3.6254070311583626,2.0,3.0,2.0,1.0,3.0602352018030174,0.0,104,0,0,72,276.086356334008,0.6666666666666666,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0043,19.669148791034292,13.304686600863562,3.3325482949183005,5.0,5.0,2.0,2.0,2.0794415416798357,1.3862943611198906,106,2,0,212,580.8323652793912,1.0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0044,16.811242881518265,12.04355959836804,3.3028492586443794,4.0,5.0,1.0,1.0,3.0602352018030174,1.3862943611198906,134,3,0,98,117.64636678607773,0.8,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0045,18.2756549834628,10.596659732783579,3.66612246699132,5.0,9.0,1.0,1.0,3.044522437723423,2.3978952727983707,32,0,0,271,2162.445938851529,0.5555555555555556,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0046,16.835935492889124,13.122365377402328,2.917770732084279,5.0,11.0,1.0,1.0,3.0602352018030174,2.70805020110221,13,1,0,71,40.999918000164,0.45454545454545453,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0047,18.1462439114085,13.45883704259595,3.3325482949183005,3.0,5.0,1.0,1.0,3.0602352018030174,1.9459101490553132,218,1,1,440,108.57127346960932,0.6,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0048,18.86536657162407,13.217675375388819,3.305053521109253,3.0,7.0,1.0,1.0,1.791759469228055,0.0,103,0,1,381,283.6358479348219,0.42857142857142855,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0049,15.687312888712007,12.577639650232573,3.7350471349589434,6.0,6.0,1.0,1.0,2.4849066497880004,1.791759469228055,243,6,0,85,22.413715814773052,1.0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0050,19.00009916478621,12.388398368982115,3.159125820462427,2.0,3.0,1.0,1.0,0.6931471805599453,0.0,24,4,0,222,743.746901054579,0.6666666666666666,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0051,18.690707888799015,11.608244735642321,2.9750192319564492,4.0,7.0,1.0,1.0,1.0986122886681098,0.0,49,2,0,62,1190.8982645612314,0.5714285714285714,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0052,18.547313403696304,13.102162710901053,3.3325482949183005,2.0,3.0,1.0,1.0,3.0602352018030174,0.0,243,6,0,149,231.6321803424891,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
